epoch,train_loss,val_loss,train_mae,val_mae,train_mad,val_mad,train_final_mae,val_final_mae,train_final_mad,val_final_mad,train_relative_mae,val_relative_mae,train_relative_mad,val_relative_mad,lr_start,lr_end,eval_ran,epoch_time_seconds,total_elapsed_seconds,best_updated,record_type,is_best_epoch,selection_metric,best_val_loss,best_val_mae,best_val_mad,test_loss,test_mae,test_mad
1,0.5523690874134555,0.5868941144220959,9.956670761108398,10.457180976867676,7.9228515625,8.1162109375,9.956670761108398,10.457180976867676,7.9228515625,8.1162109375,9.956670761108398,10.457180976867676,7.9228515625,8.1162109375,0.00011666666666666667,0.00018333333333333336,True,311.96307082,317.659500674,True,epoch,False,mae,,,,,,
2,0.5522066094178012,0.5869150241996263,9.953530311584473,10.457584381103516,7.8896484375,8.1240234375,9.953530311584473,10.457584381103516,7.8896484375,8.1240234375,9.953530311584473,10.457584381103516,7.8896484375,8.1240234375,0.00018333333333333336,0.00025,True,217.47923407199994,535.140274492,False,epoch,False,mae,,,,,,
3,0.5521686826870754,0.5868539907153157,9.952860832214355,10.456901550292969,7.876953125,8.1181640625,9.952860832214355,10.456901550292969,7.876953125,8.1181640625,9.952860832214355,10.456901550292969,7.876953125,8.1181640625,0.00025,0.0002499201416852354,True,217.74527356300007,752.8918526,False,epoch,False,mae,,,,,,
4,0.5519952191787216,0.5869239695777733,9.949993133544922,10.457657814025879,7.8896484375,8.1181640625,9.949993133544922,10.457657814025879,7.8896484375,8.1181640625,9.949993133544922,10.457657814025879,7.8896484375,8.1181640625,0.0002499201416852354,0.00024968067086094883,True,216.57227475599996,969.479977082,False,epoch,False,mae,,,,,,
5,0.5519722085402021,0.58686770764173,9.947261810302734,10.456977844238281,7.9111328125,8.1181640625,9.947261810302734,10.456977844238281,7.9111328125,8.1181640625,9.947261810302734,10.456977844238281,7.9111328125,8.1181640625,0.00024968067086094883,0.000249281899751409,True,216.03791076099992,1185.523567622,False,epoch,False,mae,,,,,,
6,0.5521654976758121,0.5868553596994152,9.95235824584961,10.456796646118164,7.9306640625,8.1220703125,9.95235824584961,10.456796646118164,7.9306640625,8.1220703125,9.95235824584961,10.456796646118164,7.9306640625,8.1220703125,0.000249281899751409,0.00024872434827806554,True,216.85682366600008,1402.393617426,False,epoch,True,mae,,,,,,
7,0.5520266456652634,0.5869265022317959,9.95062255859375,10.457649230957031,7.89697265625,8.125,9.95062255859375,10.457649230957031,7.89697265625,8.125,9.95062255859375,10.457649230957031,7.89697265625,8.125,0.00024872434827806554,0.00024800874338167027,True,216.3162338049999,1618.71858663,False,epoch,False,mae,,,,,,
8,0.5521295259850335,0.5869277252555729,9.950543403625488,10.457771301269531,7.9111328125,8.125,9.950543403625488,10.457771301269531,7.9111328125,8.125,9.950543403625488,10.457771301269531,7.9111328125,8.125,0.00024800874338167027,0.00024713601807448555,True,216.13855640299994,1834.880843721,False,epoch,False,mae,,,,,,
9,0.5523900181445848,0.5869372243800972,9.954154968261719,10.457804679870605,7.91796875,8.123046875,9.954154968261719,10.457804679870605,7.91796875,8.123046875,9.954154968261719,10.457804679870605,7.91796875,8.123046875,0.00024713601807448555,0.00024610731022381394,True,216.90025989899982,2051.787032087,False,epoch,False,mae,,,,,,
10,0.5523688134177095,0.586922754244918,9.956038475036621,10.457651138305664,7.88818359375,8.1201171875,9.956038475036621,10.457651138305664,7.88818359375,8.1201171875,9.956038475036621,10.457651138305664,7.88818359375,8.1201171875,0.00024610731022381394,0.0002449239610684365,True,217.13090377900016,2268.9245211700004,False,epoch,False,mae,,,,,,
